[2021-03-24 11:37:23] , 63.00, 62.30, 12.00
[2021-03-24 11:37:28] , 63.00, 62.30, 12.10
[2021-03-24 11:37:33] , 63.00, 62.30, 12.10
[2021-03-24 11:37:38] , 63.00, 62.30, 12.10
[2021-03-24 11:37:43] , 63.00, 62.28, 12.10
[2021-03-24 11:37:48] , 63.00, 62.24, 12.10
[2021-03-24 11:37:53] , 63.00, 62.22, 12.10
[2021-03-24 11:37:58] , 63.00, 62.22, 12.10
[2021-03-24 11:38:03] , 64.00, 62.24, 12.10
[2021-03-24 11:38:08] , 64.00, 62.28, 12.10
[2021-03-24 11:38:13] , 63.00, 62.30, 12.00
[2021-03-24 11:38:18] , 62.00, 62.30, 11.90
[2021-03-24 11:38:23] , 62.00, 62.30, 11.90
[2021-03-24 11:38:28] , 62.00, 62.30, 11.90
[2021-03-24 11:38:33] , 62.00, 62.30, 11.90
[2021-03-24 11:38:38] , 63.00, 62.32, 11.90
[2021-03-24 11:38:43] , 62.00, 62.32, 11.80
[2021-03-24 11:38:48] , 62.00, 62.32, 11.90
[2021-03-24 11:38:53] , 62.00, 62.32, 11.90
[2021-03-24 11:38:58] , 62.00, 62.32, 11.90
[2021-03-24 11:39:03] , 62.00, 62.32, 11.90
[2021-03-24 11:39:08] , 62.00, 62.32, 11.90
[2021-03-24 11:39:13] , 63.00, 62.34, 12.00
[2021-03-24 11:39:18] , 63.00, 62.36, 12.00
[2021-03-24 11:39:23] , 63.00, 62.38, 12.00
[2021-03-24 11:39:28] , 63.00, 62.40, 12.00
[2021-03-24 11:39:33] , 63.00, 62.44, 12.00
[2021-03-24 11:39:38] , 63.00, 62.46, 12.10
[2021-03-24 11:39:43] , 63.00, 62.48, 12.10
[2021-03-24 11:39:48] , 63.00, 62.50, 12.10
[2021-03-24 11:39:53] , 62.00, 62.50, 12.10
[2021-03-24 11:39:58] , 62.00, 62.50, 12.10
[2021-03-24 11:40:03] , 62.00, 62.50, 12.00
[2021-03-24 11:40:08] , 63.00, 62.50, 12.00
[2021-03-24 11:40:13] , 63.00, 62.50, 12.00
[2021-03-24 11:40:18] , 63.00, 62.50, 12.00
[2021-03-24 11:40:23] , 64.00, 62.54, 12.10
[2021-03-24 11:40:28] , 64.00, 62.58, 12.10
[2021-03-24 11:40:33] , 63.00, 62.60, 12.10
[2021-03-24 11:40:39] , 63.00, 62.62, 12.20
[2021-03-24 11:40:44] , 62.00, 62.62, 12.30
[2021-03-24 11:40:49] , 62.00, 62.62, 12.30
[2021-03-24 11:40:54] , 62.00, 62.62, 12.40
[2021-03-24 11:40:59] , 62.00, 62.62, 12.40
[2021-03-24 11:41:04] , 62.00, 62.62, 12.40
[2021-03-24 11:41:09] , 61.00, 62.60, 12.40
[2021-03-24 11:41:14] , 61.00, 62.58, 12.40
[2021-03-24 11:41:19] , 61.00, 62.56, 12.40
[2021-03-24 11:41:24] , 60.00, 62.52, 12.40
[2021-03-24 11:41:29] , 61.00, 62.50, 12.40
[2021-03-24 11:41:34] , 61.00, 62.46, 12.50
[2021-03-24 11:41:39] , 61.00, 62.42, 12.50
[2021-03-24 11:41:44] , 61.00, 62.38, 12.60
[2021-03-24 11:41:49] , 61.00, 62.34, 12.60
[2021-03-24 11:41:54] , 61.00, 62.30, 12.60
[2021-03-24 11:41:59] , 61.00, 62.26, 12.60
[2021-03-24 11:42:04] , 61.00, 62.22, 12.60
[2021-03-24 11:42:09] , 61.00, 62.18, 12.60
